萨巴德罗	sabadeluo,sbdl
萨薄	sabao,sb
萨博	sabo,sb
萨达姆	sadamu,sdm
萨达特	sadate,sdt
萨德	sade,sd
萨德尔	sadeer,sde
萨德尔市	sadeershi,sdes
萨迪克	sadike,sdk
萨蒂	sadi,sd
萨丁尼亚岛	sadingniyadao,sdnyd
萨埵	saduo,sd
萨尔	saer,se
萨尔布吕肯	saerbuluken,seblk
萨尔茨堡	saercibao,secb
萨尔达	saerda,sed
萨尔贡王宫	saergongwang,segw
萨尔浒之战	saerhuzhizhan,sehzz
萨尔科齐	saerkeqi,sekq
萨尔科奇	saerkeqi,sekq
萨尔普斯堡	saerpusibao,sepsb
萨尔图	saertu,set
萨尔图区	saertuqu,setq
萨尔瓦多	saerwaduo,sewd
萨尔温江	saerwenjiang,sewj
萨尔州	saerzhou,sez
萨非王朝	safeiwangchao,sfwc
萨菲	safei,sf
萨嘎	saga,sg
萨嘎县	sagaxian,sgx
萨噶达娃节	sagadawajie,sgdwj
萨格勒布	sagelebu,sglb
萨哈罗夫	sahaluofu,shlf
萨哈罗夫奖	sahaluofujiang,shlfj
萨哈罗夫人权奖	sahaluofurenquanjiang,shlfrqj
萨哈洛夫	sahaluofu,shlf
萨哈诺夫	sahanuofu,shnf
萨哈诺夫人权奖	sahanuofurenquanjiang,shnfrqj
萨杭	sahang,sh
萨赫蛋糕	sahedangao,shdg
萨迦	sajia,sj
萨迦县	sajiaxian,sjx
萨卡什维利	sakashiweili,skswl
萨科齐	sakeqi,skq
萨克管	sakeguan,skg
萨克拉门托	sakelamentuo,sklmt
萨克洛夫	sakeluofu,sklf
萨克洛夫奖	sakeluofujiang,sklfj
萨克森	sakesen,sks
萨克森州	sakesenzhou,sksz
萨克斯	sakesi,sks
萨克斯风	sakesifeng,sksf
萨克斯管	sakesiguan,sksg
萨克逊	sakexun,skx
萨拉丁	salading,sld
萨拉戈萨	salage,slg
萨拉曼卡	salamanka,slmk
萨拉米	salami,slm
萨拉热窝	salarewo,slrw
萨拉森帝国	salasendiguo,slsdg
萨兰斯克	salansike,slsk
萨里	sali,sl
萨里郡	salijun,slj
萨莉	sali,sl
萨马兰奇	samalanqi,smlq
萨玛	sama,sm
萨满	saman,sm
萨满教	samanjiao,smj
萨米人	samiren,smr
萨摩	samo,sm
萨摩麟	samolin,sml
萨摩亚	samoya,smy
萨摩耶	samoye,smy
萨摩耶犬	samoyequan,smyq
萨默塞特郡	samosaitejun,smstj
萨那	sana,sn
萨那罕	sanahan,snh
萨齐玛	saqima,sqm
萨其马	saqima,sqm
萨桑王朝	sasangwangchao,sswc
萨珊王朝	sashanwangchao,sswc
萨斯	sasi,ss
萨斯病	sasibing,ssb
萨斯喀彻温	sasikachewen,sskcw
萨斯卡通	sasikatong,sskt
萨特	sate,st
萨瓦河	sawahe,swh
