惹绊	reban,rb
惹不起	rebuqi,rbq
惹草拈花	recaonianhua,rcnh
惹草沾花	recaozhanhua,rczh
惹动	redong,rd
惹发	refa,rf
惹翻	refan,rf
惹犯	refan,rf
惹祻	regu,rg
惹火	rehuo,rh
惹火烧身	rehuoshaoshen,rhss
惹祸	rehuo,rh
惹祸招愆	rehuozhaoqian,rhzq
惹祸招殃	rehuozhaoyang,rhzy
惹祸招灾	rehuozhaozai,rhzz
惹口面	rekoumian,rkm
惹口舌	rekoushe,rks
惹娄子	relouzi,rlz
惹喽子	relouzi,rlz
惹楼子	relouzi,rlz
惹乱子	reluanzi,rlz
惹麻烦	remafan,rmf
惹毛	remao,rm
惹目	remu,rm
惹恼	renao,rn
惹怒	renu,rn
惹起	reqi,rq
惹气	reqi,rq
惹惹	re,r
惹人	reren,rr
惹人心烦	rerenxinfan,rrxf
惹人厌	rerenyan,rry
惹人注目	rerenzhumu,rrzm
惹人注意	rerenzhuyi,rrzy
惹虱子头上挠	reshizitoushangnao,rsztsn
惹事	reshi,rs
惹事生非	reshishengfei,rssf
惹事招非	reshizhaofei,rszf
惹是非	reshifei,rsf
惹是生非	reshishengfei,rssf
惹是招非	reshizhaofei,rszf
惹眼	reyan,ry
惹厌	reyan,ry
惹怨	reyuan,ry
惹灾招祸	rezaizhaohuo,rzzh
