橡饭菁羹	xiangfanjinggeng,xfjg
橡胶	xiangjiao,xj
橡胶树	xiangjiaoshu,xjs
橡木	xiangmu,xm
橡皮	xiangpi,xp
橡皮擦	xiangpica,xpc
橡皮钉子	xiangpidingzi,xpdz
橡皮筏	xiangpifa,xpf
橡皮膏	xiangpigao,xpg
橡皮筋	xiangpijin,xpj
橡皮泥	xiangpini,xpn
橡皮球	xiangpiqiu,xpq
橡皮圈	xiangpiquan,xpq
橡皮糖	xiangpitang,xpt
橡皮艇	xiangpiting,xpt
橡皮图章	xiangpituzhang,xptz
橡皮线	xiangpixian,xpx
橡茹藿歠	xiangruhuochuo,xrhc
橡实	xiangshi,xs
橡树	xiangshu,xs
橡子	xiangzi,xz
橡子面	xiangzimian,xzm
橡子面儿	xiangzimianer,xzme
