狸变	libian,lb
狸别	libie,lb
狸步	libu,lb
狸虫	lichong,lc
狸德	lide,ld
狸豆	lidou,ld
狸膏	ligao,lg
狸骨帖	ligutie,lgt
狸力	li,l
狸猫	limao,lm
狸猫换太子	limaohuantaizi,lmhtz
狸奴	linu,ln
狸裘	liqiu,lq
狸沙	lisha,ls
狸狌	lixing,lx
狸首	lishou,ls
狸头	litou,lt
狸头白首	litoubaishou,ltbs
狸头瓜	litougua,ltg
狸头竹	litouzhu,ltz
狸物	liwu,lw
狸鼬	liyou,ly
狸藻	lizao,lz
狸制	lizhi,lz
狸子	lizi,lz
