幡薄	fanbao,fb
幡布	fanbu,fb
幡幢	fanzhuang,fz
幡儿	faner,fe
幡幡	fan,f
幡盖	fangai,fg
幡竿	fangan,fg
幡虹	fanhong,fh
幡花	fanhua,fh
幡华	fanhua,fh
幡麾	fanhui,fh
幡缉	fanji,fj
幡戟	fanji,fj
幡节	fanjie,fj
幡纚	fanli,fl
幡旄	fanmao,fm
幡眊	fanmao,fm
幡旆	fanpei,fp
幡旗	fanqi,fq
幡棨	fanqi,fq
幡然	fanran,fr
幡然改图	fanrangaitu,frgt
幡然改途	fanrangaitu,frgt
幡然悔悟	fanranhuiwu,frhw
幡洒	fansa,fs
幡伞	fansan,fs
幡刹	fansha,fs
幡胜	fansheng,fs
幡舞	fanwu,fw
幡信	fanxin,fx
幡斿	fanyou,fy
幡织	fanzhi,fz
幡纸	fanzhi,fz
幡帜	fanzhi,fz
幡子	fanzi,fz
