騃痴	aichi,ac
騃颠	aidian,ad
騃钝	aidun,ad
騃惰	aiduo,ad
騃儿	aier,ae
騃戆	aigang,ag
騃憨	aihan,ah
騃汉	aihan,ah
騃蹇	aijian,aj
騃昧	aimei,am
騃呐	aina,an
騃女	ainu,an
騃女痴儿	ainuchier,ance
騃女痴男	ainuchinan,ancn
騃怯	aiqie,aq
騃竖	aishu,as
騃童	aitong,at
騃童钝夫	aitongdunfu,atdf
騃谑	aixue,ax
騃冶	aiye,ay
騃野	aiye,ay
騃庸	aiyong,ay
騃幼	aiyou,ay
騃滞	aizhi,az
騃穉	aizhi,az
騃拙	aizhuo,az
騃子	aizi,az
