録白	lubai,lb
録本	luben,lb
録第	ludi,ld
録牒	ludie,ld
録符	lufu,lf
録公	lugong,lg
録供	lugong,lg
録黄	luhuang,lh
録籍	luji,lj
録记	luji,lj
録纪	luji,lj
録爵	lujue,lj
録科	luke,lk
録兰	lulan,ll
録録	lu,l
録略	lulue,ll
録民	lumin,lm
録命	luming,lm
録目	lumu,lm
録取	luqu,lq
録事	lushi,ls
録书	lushu,ls
録贴	lutie,lt
録图	lutu,lt
録橐	lutuo,lt
録问	luwen,lw
録相	luxiang,lx
録像	luxiang,lx
録像机	luxiangji,lxj
録序	luxu,lx
録续	luxu,lx
録要	luyao,ly
録遗	luyi,ly
録音	luyin,ly
録音带	luyindai,lyd
録音机	luyinji,lyj
録用	luyong,ly
録治	luzhi,lz
録子	luzi,lz
録奏	luzou,lz
