彼岸	bian,ba
彼岸花	bianhua,bah
彼苍	bicang,bc
彼倡此和	bichangcihe,bcch
彼唱此和	bichangcihe,bcch
彼此	bici,bc
彼此彼此	bici,bc
彼得	bide,bd
彼得堡	bidebao,bdb
彼得格勒	bidegele,bdgl
彼得后书	bidehoushu,bdhs
彼得里皿	bidelimin,bdlm
彼得卢惨案	bidelucanan,bdlca
彼得罗维奇	bideluoweiqi,bdlwq
彼得潘	bidepan,bdp
彼得前书	bideqianshu,bdqs
彼等	bideng,bd
彼尔姆	biermu,bem
彼各	bige,bg
彼己	biji,bj
彼记	biji,bj
彼竭我盈	bijiewoying,bjwy
彼拉多	biladuo,bld
彼拉提斯	bilatisi,blts
彼其	biqi,bq
彼弃我取	biqiwoqu,bqwq
彼人	biren,br
彼时	bishi,bs
彼我	biwo,bw
彼一时	biyishi,bys
彼一时此一时	biyishici,bysc
彼哉彼哉	bizai,bz
彼中	bizhong,bz
彼众我寡	bizhongwogua,bzwg
