撑岸就船	chenganjiuchuan,cajc
撑肠拄肚	chengchangzhudu,cczd
撑肠拄腹	chengchangzhufu,cczf
撑场面	chengchangmian,ccm
撑持	chengchi,cc
撑船	chengchuan,cc
撑杆	chenggan,cg
撑杆跳	chenggantiao,cgt
撑杆跳高	chenggantiaogao,cgtg
撑竿跳	chenggantiao,cgt
撑竿跳高	chenggantiaogao,cgtg
撑拒	chengju,cj
撑开	chengkai,ck
撑门面	chengmenmian,cmm
撑破	chengpo,cp
撑死	chengsi,cs
撑天拄地	chengtianzhudi,ctzd
撑天柱地	chengtianzhudi,ctzd
撑霆裂月	chengtinglieyue,ctly
撑腰	chengyao,cy
撑住	chengzhu,cz
