妒嗔	duchen,dc
妒痴	duchi,dc
妒敌	dudi,dd
妒妇	dufu,df
妒妇津	dufujin,dfj
妒害	duhai,dh
妒悍	duhan,dh
妒恨	duhen,dh
妒嫮	duhu,dh
妒花女	duhuanu,dhn
妒火	duhuo,dh
妒火中烧	duhuozhongshao,dhzs
妒疾	duji,dj
妒嫉	duji,dj
妒忌	duji,dj
妒忌地	dujide,djd
妒口	dukou,dk
妒罗绵	duluomian,dlm
妒媢	dumao,dm
妒昧	dumei,dm
妒母	dumu,dm
妒母草	dumucao,dmc
妒能害贤	dunenghaixian,dnhx
妒女	dunu,dn
妒女祠	dunuci,dnc
妒女津	dunujin,dnj
妒女泉	dunuquan,dnq
妒色	duse,ds
妒贤疾能	duxianjineng,dxjn
妒贤嫉能	duxianjineng,dxjn
妒贤忌能	duxianjineng,dxjn
妒羡	duxian,dx
妒意	duyi,dy
妒忮	duzhi,dz
