颖拔	yingba,yb
颖出	yingchu,yc
颖发	yingfa,yf
颖法	yingfa,yf
颖果	yingguo,yg
颖慧	yinghui,yh
颖俊	yingjun,yj
颖利	yingli,yl
颖栗	yingli,yl
颖露	yinglu,yl
颖迈	yingmai,ym
颖敏	yingmin,ym
颖然	yingran,yr
颖生	yingsheng,ys
颖识	yingshi,ys
颖首	yingshou,ys
颖脱	yingtuo,yt
颖脱而出	yingtuoerchu,ytec
颖脱手	yingtuoshou,yts
颖悟	yingwu,yw
颖悟地	yingwude,ywd
颖悟绝伦	yingwujuelun,ywjl
颖悟绝人	yingwujueren,ywjr
颖黠	yingxia,yx
颖秀	yingxiu,yx
颖艳	yingyan,yy
颖耀	yingyao,yy
颖异	yingyi,yy
颖逸	yingyi,yy
颖哲	yingzhe,yz
颖振	yingzhen,yz
