砖茶	zhuancha,zc
砖厂	zhuanchang,zc
砖雕	zhuandiao,zd
砖工	zhuangong,zg
砖褐	zhuanhe,zh
砖红土	zhuanhongtu,zht
砖墼	zhuanji,zj
砖匠	zhuanjiang,zj
砖镜	zhuanjing,zj
砖橛子	zhuanjuezi,zjz
砖口	zhuankou,zk
砖块	zhuankuai,zk
砖模	zhuanmo,zm
砖坯	zhuanpi,zp
砖甓	zhuanpi,zp
砖石	zhuanshi,zs
砖塔	zhuanta,zt
砖头	zhuantou,zt
砖瓦	zhuanwa,zw
砖瓦厂	zhuanwachang,zwc
砖位	zhuanwei,zw
砖线	zhuanxian,zx
砖砚	zhuanyan,zy
砖窑	zhuanyao,zy
砖窑场	zhuanyaochang,zyc
