撞车	zhuangche,zc
撞大运	zhuangdayun,zdy
撞倒	zhuangdao,zd
撞府冲州	zhuangfuchongzhou,zfcz
撞坏	zhuanghuai,zh
撞毁	zhuanghui,zh
撞击	zhuangji,zj
撞击坑	zhuangjikeng,zjk
撞击式打印机	zhuangjishidayin,zjsdy
撞击式印表机	zhuangjishiyinbiao,zjsyb
撞机	zhuangji,zj
撞见	zhuangjian,zj
撞烂	zhuanglan,zl
撞脸	zhuanglian,zl
撞骗	zhuangpian,zp
撞墙	zhuangqiang,zq
撞球	zhuangqiu,zq
撞衫	zhuangshan,zs
撞伤	zhuangshang,zs
撞死	zhuangsi,zs
撞锁	zhuangsuo,zs
撞头搕脑	zhuangtoukenao,ztkn
撞头磕脑	zhuangtoukenao,ztkn
撞运气	zhuangyunqi,zyq
撞针	zhuangzhen,zz
撞阵冲军	zhuangzhenchongjun,zzcj
撞钟	zhuangzhong,zz
