聋胞	longbao,lb
聋丞	longcheng,lc
聋虫	longchong,lc
聋瞽	longgu,lg
聋瞶	longgui,lg
聋聩	longkui,lk
聋盲	longmang,lm
聋昧	longmei,lm
聋瞢	longmeng,lm
聋矒	longmeng,lm
聋人	longren,lr
聋俗	longsu,ls
聋哑	longya,ly
聋哑人	longyaren,lyr
聋哑症	longyazheng,lyz
聋喑	longyin,ly
聋瘖	longyin,ly
聋灶	longzao,lz
聋者之歌	longzhezhige,lzzg
聋子	longzi,lz
