盆盎	penang,pa
盆钵	penbo,pb
盆菜	pencai,pc
盆草	pencao,pc
盆朝天	penchaotian,pct
盆成	pencheng,pc
盆池	penchi,pc
盆地	pendi,pd
盆吊	pendiao,pd
盆缻	penfou,pf
盆覆	penfu,pf
盆花	penhua,ph
盆景	penjing,pj
盆腔	penqiang,pq
盆腔炎	penqiangyan,pqy
盆山	penshan,ps
盆手	penshou,ps
盆汤	pentang,pt
盆堂	pentang,pt
盆头	pentou,pt
盆下	penxia,px
盆溢	penyi,py
盆友	penyou,py
盆浴	penyu,py
盆栽	penzai,pz
盆子	penzi,pz
