泗滨	sibin,sb
泗滨友	sibinyou,sby
泗川	sichuan,sc
泗洪	sihong,sh
泗洪县	sihongxian,shx
泗上	sishang,ss
泗石	sishi,ss
泗水	sishui,ss
泗水潜夫	sishuiqianfu,ssqf
泗水亭	sishuiting,sst
泗水县	sishuixian,ssx
泗洟	siti,st
泗涕	siti,st
泗县	sixian,sx
泗阳	siyang,sy
泗阳县	siyangxian,syx
泗沂	siyi,sy
泗州调	sizhoudiao,szd
泗州和尚	sizhouheshang,szhs
泗州塔	sizhouta,szt
泗州戏	sizhouxi,szx
泗洙	sizhu,sz
