视保	shibao,sb
视财如命	shicairuming,scrm
视草	shicao,sc
视草台	shicaotai,sct
视察	shicha,sc
视差	shicha,sc
视唱	shichang,sc
视朝	shichao,sc
视成	shicheng,sc
视窗	shichuang,sc
视错觉	shicuojue,scj
视丹如绿	shidanrulu,sdrl
视丹如緑	shidanrulu,sdrl
视点	shidian,sd
视端	shiduan,sd
视而不见	shierbujian,sebj
视含	shihan,sh
视候	shihou,sh
视乎	shihu,sh
视护	shihu,sh
视撝	shihui,sh
视疾	shiji,sj
视奸	shijian,sj
视角	shijiao,sj
视界	shijie,sj
视祲	shijin,sj
视距	shiju,sj
视觉	shijue,sj
视觉方言	shijuefangyan,sjfy
视觉上地	shijueshangde,sjsd
视空间系统	shikongjianxitong,skjxt
视孔	shikong,sk
视力	shili,sl
视力表	shilibiao,slb
视力测定法	shilicedingfa,slcdf
视力地	shilide,sld
视亮度	shiliangdu,sld
视瞭	shiliao,sl
视临	shilin,sl
视流	shiliu,sl
视履	shilu,sl
视盲	shimang,sm
视民如伤	shiminrushang,smrs
视民如子	shiminruzi,smrz
视盘	shipan,sp
视频	shipin,sp
视频点播	shipindianbo,spdb
视频会议	shipinhuiyi,sphy
视频节目	shipinjiemu,spjm
视屏	shiping,sp
视寝	shiqin,sq
视区	shiqu,sq
视人如伤	shirenrushang,srrs
视人如子	shirenruzi,srrz
视日	shiri,sr
视日如年	shirirunian,srrn
视肉	shirou,sr
视如敝屐	shirubiji,srbj
视如敝屣	shirubixi,srbx
视如草芥	shirucaojie,srcj
视如粪土	shirufentu,srft
视如寇仇	shirukouchou,srkc
视如陌路	shirumolu,srml
视如土芥	shirutujie,srtj
视如珍宝	shiruzhenbao,srzb
视若儿戏	shiruoerxi,srex
视若路人	shiruoluren,srlr
视若无睹	shiruowudu,srwd
视膳	shishan,ss
视神经	shishenjing,ssj
视神经盘	shishenjingpan,ssjp
视神经乳头	shishenjingrutou,ssjrt
视生	shisheng,ss
视师	shi,s
视事	shi,s
视朔	shishuo,ss
视死如归	shisirugui,ssrg
视死如生	shisirusheng,ssrs
视死如饴	shisiruyi,ssry
视死若归	shisiruogui,ssrg
视死若生	shisiruosheng,ssrs
视死犹归	shisiyougui,ssyg
视损伤	shisunshang,sss
视态	shitai,st
视眺	shitiao,st
视听	shiting,st
视听材料	shitingcailiao,stcl
视同	shitong,st
视同儿戏	shitongerxi,stex
视同拱璧	shitonggongbi,stgb
视同己出	shitongjichu,stjc
视同路人	shitongluren,stlr
视同陌路	shitongmolu,stml
视同秦越	shitongqinyue,stqy
视同手足	shitongshouzu,stsz
视同一律	shitongyilu,styl
视图	shitu,st
视网膜	shiwangmo,swm
视微知着	shiweizhizhuo,swzz
视微知著	shiweizhizhuo,swzz
视伟	shiwei,sw
视为	shiwei,sw
视为儿戏	shiweierxi,swex
视为寇雠	shiweikouchou,swkc
视为畏途	shiweitu,swt
视为知己	shiweizhiji,swzj
视文	shiwen,sw
视问	shiwen,sw
视息	shixi,sx
视习	shixi,sx
视下如伤	shixiarushang,sxrs
视险如夷	shixianruyi,sxry
视险若夷	shixianruoyi,sxry
视线	shixian,sx
视像	shixiang,sx
视效	shixiao,sx
视学	shixue,sx
视讯	shixun,sx
视养	shiyang,sy
视药	shiyao,sy
视野	shiye,sy
视荫	shiyin,sy
视印	shiyin,sy
视阈	shiyu,sy
视遇	shiyu,sy
视远步高	shiyuanbugao,sybg
视躁	shizao,sz
视瞻	shizhan,sz
视掌	shizhang,sz
视障	shizhang,sz
视之不见	shizhibujian,szbj
视秩	shizhi,sz
视篆	shizhuan,sz
视濯	shizhuo,sz
视作	shizuo,sz
