社保	shebao,sb
社北	shebei,sb
社伯	shebo,sb
社仓	shecang,sc
社场	shechang,sc
社畜	shechu,sc
社队企业	sheduiqiye,sdqy
社饭	shefan,sf
社方	shefang,sf
社风	shefeng,sf
社副	shefu,sf
社稿	shegao,sg
社工	shegong,sg
社工人	shegongren,sgr
社公	shegong,sg
社公雨	shegongyu,sgy
社宫	shegong,sg
社鼓	shegu,sg
社鬼	shegui,sg
社会	shehui,sh
社会保险	shehuibaoxian,shbx
社会保障	shehuibaozhang,shbz
社会存在	shehuicunzai,shcz
社会达尔文主义	shehuidaerwenzhuyi,shdewzy
社会党	shehuidang,shd
社会等级	shehuidengji,shdj
社会服务	shehuifuwu,shfw
社会福利	shehuifuli,shfl
社会工作	shehuigongzuo,shgz
社会工作者	shehuigongzuozhe,shgzz
社会公共利益	shehuigongliyi,shgly
社会关怀	shehuiguanhuai,shgh
社会关系	shehuiguanxi,shgx
社会化	shehuihua,shh
社会环境	shehuihuanjing,shhj
社会活动	shehuihuodong,shhd
社会教育	shehuijiaoyu,shjy
社会阶层	shehuijieceng,shjc
社会经济	shehuijingji,shjj
社会科学	shehuikexue,shkx
社会民主	shehuiminzhu,shmz
社会民主党	shehuiminzhudang,shmzd
社会民主主义	shehuiminzhuyi,shmzy
社会名流	shehuimingliu,shml
社会平等	shehuipingdeng,shpd
社会青年	shehuiqingnian,shqn
社会事业	shehuishiye,shsy
社会团体	shehuituanti,shtt
社会贤达	shehuixianda,shxd
社会现象	shehuixianxiang,shxx
社会效益	shehuixiaoyi,shxy
社会信用体系	shehuixinyongtixi,shxytx
社会行动	shehuixingdong,shxd
社会性	shehuixing,shx
社会学	shehuixue,shx
社会意识	shehuiyishi,shys
社会语言学	shehuiyuyanxue,shyyx
社会正义	shehuizhengyi,shzy
社会制度	shehuizhidu,shzd
社会主义	shehuizhuyi,shzy
社会主义革命	shehuizhuyigeming,shzygm
社会主义教育运动	shehuizhuyijiaoyuyundong,shzyjyyd
社会主义者	shehuizhuyizhe,shzyz
社会总供给	shehuizonggongji,shzgj
社会总需求	shehuizongxuqiu,shzxq
社火	shehuo,sh
社伙	shehuo,sh
社祭	sheji,sj
社稷	sheji,sj
社稷臣	shejichen,sjc
社稷器	shejiqi,sjq
社稷神	shejishen,sjs
社稷坛	shejitan,sjt
社稷主	shejizhu,sjz
社家	shejia,sj
社交	shejiao,sj
社交才能	shejiaocaineng,sjcn
社交恐惧症	shejiaokongjuzheng,sjkjz
社交媒体	shejiaomeiti,sjmt
社交牛逼症	shejiaoniubizheng,sjnbz
社交圈	shejiaoquan,sjq
社交上地	shejiaoshangde,sjsd
社交网站	shejiaowangzhan,sjwz
社交舞	shejiaowu,sjw
社交语言	shejiaoyuyan,sjyy
社教	shejiao,sj
社酒	shejiu,sj
社君	shejun,sj
社科	sheke,sk
社科院	shekeyuan,sky
社客	sheke,sk
社恐	shekong,sk
社栎	sheli,sl
社林	shelin,sl
社零星	shelingxing,slx
社论	shelun,sl
社媒	shemei,sm
社庙	shemiao,sm
社民党	shemindang,smd
社鸣	sheming,sm
社木	shemu,sm
社木砦	shemuzhai,smz
社南	shenan,sn
社评	sheping,sp
社旗	sheqi,sq
社旗县	sheqixian,sqx
社钱	sheqian,sq
社区	shequ,sq
社区地	shequde,sqd
社群	shequn,sq
社群媒体	shequnmeiti,sqmt
社人	sheren,sr
社日	sheri,sr
社肉	sherou,sr
社赛	shesai,ss
社神	sheshen,ss
社师	sheshi,ss
社事	sheshi,ss
社首	sheshou,ss
社鼠	sheshu,ss
社鼠城狐	sheshuchenghu,ssch
社树	sheshu,ss
社司	shesi,ss
社死	shesi,ss
社祀	shesi,ss
社坛	shetan,st
社头	shetou,st
社头乡	shetouxiang,stx
社团	shetuan,st
社威擅势	sheweishanshi,swss
社维法	sheweifa,swf
社壝	shewei,sw
社翁	sheweng,sw
社翁雨	shewengyu,swy
社屋	shewu,sw
社鼷	shexi,sx
社戏	shexi,sx
社学	shexue,sx
社燕	sheyan,sy
社燕秋鸿	sheyanqiuhong,syqh
社饮	sheyin,sy
社友	sheyou,sy
社雨	sheyu,sy
社员	sheyuan,sy
社运	sheyun,sy
社宰	shezai,sz
社长	shezhang,sz
社直	shezhi,sz
社众	shezhong,sz
社主	shezhu,sz
社宗	shezong,sz
