鲛鳄	jiaoe,je
鲛瞂	jiaofa,jf
鲛革	jiaoge,jg
鲛工	jiaogong,jg
鲛宫	jiaogong,jg
鲛馆	jiaoguan,jg
鲛国	jiaoguo,jg
鲛函	jiaohan,jh
鲛户	jiaohu,jh
鲛客	jiaoke,jk
鲛泪	jiaolei,jl
鲛龙	jiaolong,jl
鲛奴	jiaonu,jn
鲛女	jiaonu,jn
鲛帕	jiaopa,jp
鲛盘	jiaopan,jp
鲛人	jiaoren,jr
鲛人泣珠	jiaorenqizhu,jrqz
鲛鲨	jiaosha,js
鲛鯋	jiaosha,js
鲛鮹	jiaoshao,js
鲛室	jiaoshi,js
鲛丝	jiaosi,js
鲛韅	jiaoxian,jx
鲛绡	jiaoxiao,jx
鲛鱼	jiaoyu,jy
鲛帐	jiaozhang,jz
鲛织	jiaozhi,jz
鲛珠	jiaozhu,jz
