屡败屡战	lubaizhan,lbz
屡变星霜	lubianxingshuang,lbxs
屡出狂言	luchukuangyan,lcky
屡次	luci,lc
屡次地	lucide,lcd
屡次三番	lucisanfan,lcsf
屡复	lufu,lf
屡加	lujia,lj
屡见不鲜	lujianbuxian,ljbx
屡骄	lujiao,lj
屡教不改	lujiaobugai,ljbg
屡禁不绝	lujinbujue,ljbj
屡禁不止	lujinbuzhi,ljbz
屡空	lukong,lk
屡屡	lu,l
屡盟	lumeng,lm
屡迁	luqian,lq
屡劝不听	luquanbuting,lqbt
屡试不爽	lushibushuang,lsbs
屡试屡验	lushiyan,lsy
屡舞	luwu,lw
屡月	luyue,ly
屡遭	luzao,lz
屡遭不测	luzaobuce,lzbc
屡战屡败	luzhanbai,lzb
屡战屡胜	luzhansheng,lzs
