纬车	weiche,wc
纬谶	weichen,wc
纬地经天	weidijingtian,wdjt
纬度	weidu,wd
纬度地带性	weidudidaixing,wdddx
纬候	weihou,wh
纬繣	weihua,wh
纬锦	weijin,wj
纬经	weijing,wj
纬略	weilue,wl
纬帽	weimao,wm
纬圈	weiquan,wq
纬纱	weisha,ws
纬世	weishi,ws
纬书	weishu,ws
纬术	weishu,ws
纬说	weishuo,ws
纬俗	weisu,ws
纬图	weitu,wt
纬途	weitu,wt
纬武经文	weiwujingwen,wwjw
纬线	weixian,wx
纬线圈	weixianquan,wxq
纬象	weixiang,wx
纬萧	weixiao,wx
纬星	weixing,wx
