勘测	kance,kc
勘查	kancha,kc
勘察	kancha,kc
勘察加	kanchajia,kcj
勘察加半岛	kanchajiabandao,kcjbd
勘当	kandang,kd
勘定	kanding,kd
勘对	kandui,kd
勘覆	kanfu,kf
勘合	kanhe,kh
勘劾	kanhe,kh
勘会	kanhui,kh
勘剪	kanjian,kj
勘箭	kanjian,kj
勘界	kanjie,kj
勘鞠	kanju,kj
勘鞫	kanju,kj
勘破	kanpo,kp
勘契	kanqi,kq
勘实	kanshi,ks
勘探	kantan,kt
勘探队	kantandui,ktd
勘同	kantong,kt
勘问	kanwen,kw
勘误	kanwu,kw
勘误表	kanwubiao,kwb
勘校	kanjiao,kj
勘验	kanyan,ky
勘灾	kanzai,kz
勘正	kanzheng,kz
