霁波	jibo,jb
霁朝	jichao,jc
霁氛	jifen,jf
霁风朗月	jifenglangyue,jfly
霁峯	jifeng,jf
霁峰	jifeng,jf
霁红	jihong,jh
霁鉴	jijian,jj
霁景	jijing,jj
霁朗	jilang,jl
霁媚	jimei,jm
霁青	jiqing,jq
霁日	jiri,jr
霁色	jise,js
霁山	jishan,js
霁天	jitian,jt
霁威	jiwei,jw
霁雾	jiwu,jw
霁夕	jixi,jx
霁霞	jixia,jx
霁岫	jixiu,jx
霁雪	jixue,jx
霁严	jiyan,jy
霁颜	jiyan,jy
霁野	jiye,jy
霁雨	jiyu,jy
霁月	jiyue,jy
霁月光风	jiyueguangfeng,jygf
霁云	jiyun,jy
霁泽	jize,jz
霁止	jizhi,jz
