俛卬	mianang,ma
俛伏	mianfu,mf
俛附	mianfu,mf
俛就	mianjiu,mj
俛临	mianlin,ml
俛偻	mianlu,ml
俛眉	mianmei,mm
俛眄	mian,m
俛僶	mianmin,mm
俛默	mianmo,mm
俛起	mianqi,mq
俛诎	mianqu,mq
俛然	mianran,mr
俛容	mianrong,mr
俛拾地芥	fushidijie,fsdj
俛拾仰取	fushiyangqu,fsyq
俛视	mianshi,ms
俛首	fushou,fs
俛首帖耳	fushoutieer,fste
俛仰	fuyang,fy
俛啄	mianzhuo,mz
