芙奴传	funuchuan,fnc
芙渠	fuqu,fq
芙蕖	fuqu,fq
芙蓉	furong,fr
芙蓉并蒂	furongbingdi,frbd
芙蓉城	furongcheng,frc
芙蓉出水	furongchushui,frcs
芙蓉府	furong,fr
芙蓉膏	furonggao,frg
芙蓉国	furongguo,frg
芙蓉花	furonghua,frh
芙蓉剑	furongjian,frj
芙蓉镜	furongjing,frj
芙蓉楼	furonglou,frl
芙蓉面	furongmian,frm
芙蓉幕	furongmu,frm
芙蓉区	furongqu,frq
芙蓉园	furongyuan,fry
芙蓉苑	furongyuan,fry
芙蓉帐	furongzhang,frz
芙蓉镇	furongzhen,frz
