弧辰	huchen,hc
弧韣	hudu,hd
弧度	hudu,hd
弧弓	hugong,hg
弧光	huguang,hg
弧光灯	huguangdeng,hgd
弧旌枉矢	hujingwangshi,hjws
弧精	hujing,hj
弧菌	hujun,hj
弧剌	hula,hl
弧骑	huqi,hq
弧圈	huquan,hq
弧圈球	huquanqiu,hqq
弧深	hushen,hs
弧矢	hushi,hs
弧室	hushi,hs
弧弦	huxian,hx
弧线	huxian,hx
弧线长	huxianchang,hxc
弧形	huxing,hx
弧悬	huxuan,hx
弧张	huzhang,hz
弧长	huchang,hc
弧长参数	huchangcanshu,hccs
