娘的	niangde,nd
娘儿	nianger,ne
娘儿爱俏	niangeraiqiao,neaq
娘儿们	niangermen,nem
娘家	niangjia,nj
娘家姓	niangjiaxing,njx
娘舅	niangjiu,nj
娘老子	nianglaozi,nlz
娘妈	niangma,nm
娘们	niangmen,nm
娘们儿	niangmener,nme
娘母	niangmu,nm
娘母子	niangmuzi,nmz
娘娘	niang,n
娘娘庙	niangmiao,nm
娘娘腔	niangqiang,nq
娘泡	niangpao,np
娘炮	niangpao,np
娘亲	niangqin,nq
娘惹	niangre,nr
娘杀	niangsha,ns
娘胎	niangtai,nt
娘希匹	niangxipi,nxp
娘行	niangxing,nx
娘姨	niangyi,ny
娘子	niangzi,nz
娘子兵	niangzibing,nzb
娘子布	niangzibu,nzb
娘子关	niangziguan,nzg
娘子军	niangzijun,nzj
