昨朝	zuochao,zc
昨儿	zuoer,ze
昨儿格	zuoerge,zeg
昨儿个	zuoerge,zeg
昨而子	zuoerzi,zez
昨非	zuofei,zf
昨轨	zuogui,zg
昨和	zuohe,zh
昨来	zuolai,zl
昨暝	zuoming,zm
昨暮儿	zuomuer,zme
昨伲	zuoni,zn
昨年	zuonian,zn
昨前	zuoqian,zq
昨日	zuori,zr
昨日子	zuorizi,zrz
昨天	zuotian,zt
昨晚	zuowan,zw
昨席	zuoxi,zx
昨先	zuoxian,zx
昨宵	zuoxiao,zx
昨叶何	zuoyehe,zyh
昨夜	zuoye,zy
昨者	zuozhe,zz
