劣把	lieba,lb
劣把头	liebatou,lbt
劣币驱逐良币	liebiquzhuliang,lbqzl
劣别	liebie,lb
劣等	liedeng,ld
劣弟	liedi,ld
劣点	liedian,ld
劣根性	liegenxing,lgx
劣迹	lieji,lj
劣迹斑斑	liejiban,ljb
劣迹昭着	liejizhaozhe,ljzz
劣迹昭著	liejizhaozhu,ljzz
劣角	liejiao,lj
劣衿	liejin,lj
劣撅	liejue,lj
劣厥	liejue,lj
劣蹶	liejue,lj
劣马	liema,lm
劣缺	lieque,lq
劣弱	lieruo,lr
劣绅	lieshen,ls
劣时	lieshi,ls
劣势	lieshi,ls
劣汰	lietai,lt
劣下	liexia,lx
劣性	liexing,lx
劣兄	liexiong,lx
劣丈	liezhang,lz
劣质	liezhi,lz
劣种	liezhong,lz
