悉备	xibei,xb
悉达	xida,xd
悉达多	xidaduo,xdd
悉达陀	xidatuo,xdt
悉德尼	xideni,xdn
悉甲	xijia,xj
悉皆	xijie,xj
悉老	xilao,xl
悉力	xili,xl
悉率	xilu,xl
悉尼	xini,xn
悉数	xishu,xs
悉帅敝赋	xishuaibifu,xsbf
悉窣	xisu,xs
悉索	xisuo,xs
悉索薄赋	xisuobofu,xsbf
悉索敝赋	xisuobifu,xsbf
悉昙	xitan,xt
悉檀	xitan,xt
悉听尊便	xitingzunbian,xtzb
悉悉	xi,x
悉悉索索	xisuo,xs
悉心	xixin,xx
悉意	xiyi,xy
悉诸	xizhu,xz
