跋步床	babuchuang,bbc
跋踄	babu,bb
跋朝	bachao,bc
跋勅	bachi,bc
跋勑	balai,bl
跋敕	bachi,bc
跋队斩	baduizhan,bdz
跋弗倒	bafudao,bfd
跋胡	bahu,bh
跋胡疐尾	bahuzhiwei,bhzw
跋扈	bahu,bh
跋扈地	bahude,bhd
跋扈飞扬	bahufeiyang,bhfy
跋扈将军	bahujiangjun,bhjj
跋扈自恣	bahuzi,bhz
跋扈恣睢	bahuzisui,bhzs
跋焦	bajiao,bj
跋距	baju,bj
跋剌	bala,bl
跋来报往	balaifuwang,blfw
跋蓝	balan,bl
跋浪	balang,bl
跋勒国	baleguo,blg
跋録	balu,bl
跋履	balu,bl
跋履山川	balushanchuan,blsc
跋马	bama,bm
跋前踕后	baqianjiehou,bqjh
跋前疐后	baqianzhihou,bqzh
跋前踬后	baqianzhihou,bqzh
跋躠	baxie,bx
跋山涉川	bashanshechuan,bssc
跋山涉水	bashansheshui,bsss
跋涉	bashe,bs
跋涉山川	basheshanchuan,bssc
跋识	bashi,bs
跋提河	batihe,bth
跋题	bati,bt
跋尾	bawei,bw
跋文	bawen,bw
跋膝	baxi,bx
跋印	bayin,by
跋语	bayu,by
跋援	bayuan,by
跋越	bayue,by
跋遮	bazhe,bz
跋陟	bazhi,bz
跋滞	bazhi,bz
跋疐	badi,bd
跋踬	bazhi,bz
跋烛	bazhu,bz
跋烛之咨	bazhuzhizi,bzzz
跋足	bazu,bz
跋嘴	bazui,bz
