谳案	yanan,ya
谳报	yanbao,yb
谳笔	yanbi,yb
谳驳	yanbo,yb
谳词	yanci,yc
谳定	yanding,yd
谳牍	yandu,yd
谳法	yanfa,yf
谳稿	yangao,yg
谳鞠	yanju,yj
谳鞫	yanju,yj
谳局	yanju,yj
谳决	yanjue,yj
谳论	yanlun,yl
谳平	yanping,yp
谳箧	yanqie,yq
谳囚	yanqiu,yq
谳事	yanshi,ys
谳书	yanshu,ys
谳鼠	yanshu,ys
谳文	yanwen,yw
谳刑	yanxing,yx
谳讯	yanxun,yx
谳谳	yan,y
谳疑	yanyi,yy
谳议	yanyi,yy
谳语	yanyu,yy
谳狱	yanyu,yy
谳员	yanyuan,yy
谳正	yanzheng,yz
谳治	yanzhi,yz
谳奏	yanzou,yz
