脏辫	zangbian,zb
脏标	zangbiao,zb
脏病	zangbing,zb
脏弹	zangdan,zd
脏腑	zangfu,zf
脏话	zanghua,zh
脏活儿	zanghuoer,zhe
脏了	zangle,zl
脏乱	zangluan,zl
脏乱差	zangluancha,zlc
脏煤	zangmei,zm
脏器	zangqi,zq
脏水	zangshui,zs
脏土	zangtu,zt
脏污	zangwu,zw
脏污狼藉	zangwulangji,zwlj
脏兮兮	zangxi,zx
脏稀稀	zangxi,zx
脏象	zangxiang,zx
脏衣服	zangyifu,zyf
脏脏	zang,z
脏脏包	zangbao,zb
脏躁	zangzao,zz
脏躁症	zangzaozheng,zzz
脏字	zangzi,zz
脏字儿	zangzier,zze
