僧庵	sengan,sa
僧宝	sengbao,sb
僧兵	sengbing,sb
僧残	sengcan,sc
僧曹	sengcao,sc
僧厨	sengchu,sc
僧雏	sengchu,sc
僧窗	sengchuang,sc
僧牕	sengchuang,sc
僧单	sengdan,sd
僧道	sengdao,sd
僧牒	sengdie,sd
僧多粥少	sengduozhoushao,sdzs
僧坊	sengfang,sf
僧房	sengfang,sf
僧趺	sengfu,sf
僧纲	senggang,sg
僧阁	sengge,sg
僧格	sengge,sg
僧供	senggong,sg
僧宫	senggong,sg
僧官	sengguan,sg
僧馆	sengguan,sg
僧户	senghu,sh
僧会	senghui,sh
僧籍	sengji,sj
僧加罗语	sengjialuoyu,sjly
僧伽	sengqie,sq
僧伽彼	sengjiabi,sjb
僧伽蓝	sengqielan,sql
僧伽梨	sengqieli,sql
僧伽棃	sengjiali,sjl
僧伽罗磨	sengjialuomo,sjlm
僧伽罗人	sengjialuoren,sjlr
僧伽帽	sengjiamao,sjm
僧伽像	sengjiaxiang,sjx
僧伽胝	sengjiazhi,sjz
僧迦鵄	sengjiachi,sjc
僧迦梨	sengjiali,sjl
僧家	sengjia,sj
僧讲	sengjiang,sj
僧戒	sengjie,sj
僧居	sengju,sj
僧腊	sengla,sl
僧蓝	senglan,sl
僧廊	senglang,sl
僧寮	sengliao,sl
僧楼	senglou,sl
僧庐	senglu,sl
僧録	senglu,sl
僧録司	senglusi,sls
僧侣	senglu,sl
僧侣地	senglude,sld
僧律	senglu,sl
僧帽	sengmao,sm
僧帽瓣	sengmaoban,smb
僧帽猴	sengmaohou,smh
僧帽水母	sengmaoshuimu,smsm
僧门	sengmen,sm
僧盟	sengmeng,sm
僧纳	sengna,sn
僧衲	sengna,sn
僧尼	sengni,sn
僧祇	sengqi,sq
僧祇谷	sengqigu,sqg
僧祇户	sengqihu,sqh
僧祇粟	sengqisu,sqs
僧祇支	sengqizhi,sqz
僧磬	sengqing,sq
僧裘	sengqiu,sq
僧佉	sengqu,sq
僧却崎	sengqueqi,sqq
僧人	sengren,sr
僧刹	sengsha,ss
僧舍	sengshe,ss
僧社	sengshe,ss
僧史	sengshi,ss
僧首	sengshou,ss
僧寺	sengsi,ss
僧俗	sengsu,ss
僧塔	sengta,st
僧榻	sengta,st
僧堂	sengtang,st
僧腾客	sengtengke,stk
僧统	sengtong,st
僧徒	sengtu,st
僧陀	sengtuo,st
僧王	sengwang,sw
僧夏	sengxia,sx
僧鞋	sengxie,sx
僧鞋菊	sengxieju,sxj
僧行	sengxing,sx
僧轩	sengxuan,sx
僧靿袜	sengyaowa,syw
僧衣	sengyi,sy
僧英	sengying,sy
僧宇	sengyu,sy
僧院	sengyuan,sy
僧斋	sengzhai,sz
僧帐	sengzhang,sz
僧正	sengzheng,sz
僧制	sengzhi,sz
僧钟	sengzhong,sz
僧众	sengzhong,sz
僧主	sengzhu,sz
僧麈	sengzhu,sz
僧字	sengzi,sz
僧自恣日	sengziri,szr
