奖杯	jiangbei,jb
奖惩	jiangcheng,jc
奖池	jiangchi,jc
奖酬	jiangchou,jc
奖得主	jiangdezhu,jdz
奖罚	jiangfa,jf
奖罚分明	jiangfafenming,jffm
奖金	jiangjin,jj
奖励	jiangli,jl
奖励旅行	jiangliluxing,jllx
奖励旅游	jiangliluyou,jlly
奖牌	jiangpai,jp
奖牌榜	jiangpaibang,jpb
奖品	jiangpin,jp
奖旗	jiangqi,jq
奖勤罚懒	jiangqinfalan,jqfl
奖券	jiangquan,jq
奖赏	jiangshang,js
奖售	jiangshou,js
奖项	jiangxiang,jx
奖学金	jiangxuejin,jxj
奖掖	jiangye,jy
奖挹	jiangyi,jy
奖优罚劣	jiangyoufalie,jyfl
奖誉	jiangyu,jy
奖章	jiangzhang,jz
奖状	jiangzhuang,jz
