姨表	yibiao,yb
姨弟	yidi,yd
姨夫	yifu,yf
姨夫钱	yifuqian,yfq
姨父	yifu,yf
姨姐	yijie,yj
姨昆弟	yikundi,ykd
姨姥姥	yilao,yl
姨妈	yima,ym
姨妈巾	yimajin,ymj
姨妹	yimei,ym
姨母	yimu,ym
姨母笑	yimuxiao,ymx
姨奶奶	yinai,yn
姨娘	yiniang,yn
姨孃	yirang,yr
姨婆	yipo,yp
姨甥男女	yishengnannu,ysnn
姨太太	yitai,yt
姨兄	yixiong,yx
姨姨	yi,y
姨丈	yizhang,yz
姨丈人	yizhangren,yzr
姨姊妹	yizimei,yzm
