杜霸	duba,db
杜拜	dubai,db
杜邦	dubang,db
杜本内	dubennei,dbn
杜比	dubi,db
杜闭	dubi,db
杜弊清源	dubiqingyuan,dbqy
杜蔽	dubi,db
杜宾犬	dubinquan,dbq
杜伯	dubo,db
杜布罗夫尼克	dubuluofunike,dblfnk
杜草	ducao,dc
杜茝	duchai,dc
杜黜	duchu,dc
杜崔	ducui,dc
杜挡	dudang,dd
杜德机	dudeji,ddj
杜笃玛	duma,dm
杜断	duduan,dd
杜断房谋	duduanfangmou,ddfm
杜多	duduo,dd
杜遏	due,de
杜尔伯特	duerbote,debt
杜尔伯特蒙古族自治县	duerbotemengguzuzizhixian,debtmgzzzx
杜尔伯特县	duerbotexian,debtx
杜耳恶闻	duerewen,deew
杜二	duer,de
杜贰	duer,de
杜房	dufang,df
杜废	dufei,df
杜甫	dufu,df
杜甫草堂	dufucaotang,dfct
杜甫溪	dufuxi,dfx
杜父鱼	dufuyu,dfy
杜格	duge,dg
杜隔	duge,dg
杜根	dugen,dg
杜工部祠	dugongbuci,dgbc
杜公祠	dugongci,dgc
杜哈	duha,dh
杜嘿	duhei,dh
杜衡	duheng,dh
杜蘅	duheng,dh
杜浣花	duhuanhua,dhh
杜机	duji,dj
杜集	duji,dj
杜集区	dujiqu,djq
杜家村	dujiacun,djc
杜家中弟	dujiazhongdi,djzd
杜嘉班纳	dujiabanna,djbn
杜渐除微	dujianchuwei,djcw
杜渐防萌	dujianfangmeng,djfm
杜渐防微	dujianfangwei,djfw
杜谏	dujian,dj
杜禁	dujin,dj
杜茎山	dujingshan,djs
杜荆州	dujingzhou,djz
杜酒	dujiu,dj
杜举	duju,dj
杜鹃	dujuan,dj
杜鹃花	dujuanhua,djh
杜鹃花科	dujuanhuake,djhk
杜鹃科	dujuanke,djk
杜鹃鸟	dujuanniao,djn
杜鹃啼血	dujuantixue,djtx
杜鹃血	dujuanxue,djx
杜鹃座	dujuanzuo,djz
杜绝	dujue,dj
杜绝后患	dujuehouhuan,djhh
杜绝契	dujueqi,djq
杜绝人事	dujuerenshi,djrs
杜绝言路	dujueyanlu,djyl
杜厥	dujue,dj
杜康	dukang,dk
杜口	dukou,dk
杜口裹足	dukouguozu,dkgz
杜口结舌	dukoujieshe,dkjs
杜口绝言	dukoujueyan,dkjy
杜口吞声	dukoutunsheng,dkts
杜口无言	dukouwuyan,dkwy
杜葵	dukui,dk
杜莱公	dulaigong,dlg
杜兰香	dulanxiang,dlx
杜蕾斯	duleisi,dls
杜冷丁	dulengding,dld
杜梨	duli,dl
杜里	duli,dl
杜丽	duli,dl
杜丽娘	duliniang,dln
杜连	dulian,dl
杜陵	duling,dl
杜陵布衣	dulingbuyi,dlby
杜陵风雨手	dulingfengyushou,dlfys
杜陵风月手	dulingfengyueshou,dlfys
杜陵花	dulinghua,dlh
杜陵杰	dulingjie,dlj
杜陵老	dulinglao,dll
杜陵叟	dulingsou,dls
杜陵翁	dulingweng,dlw
杜陵屋	dulingwu,dlw
杜陵野客	dulingyeke,dlyk
杜陵野老	dulingyelao,dlyl
杜陵遗老	dulingyilao,dlyl
杜律	dulu,dl
杜马	duma,dm
杜茅柴	dumaochai,dmc
杜门	dumen,dm
杜门不出	dumenbuchu,dmbc
杜门晦迹	dumenhuiji,dmhj
杜门绝迹	dumenjueji,dmjj
杜门绝客	dumenjueke,dmjk
杜门面壁	dumenmianbi,dmmb
杜门屏迹	dumenpingji,dmpj
杜门却扫	dumenquesao,dmqs
