胚层	peiceng,pc
胚根	peigen,pg
胚浑	peihun,ph
胚混	peihun,ph
胚料	peiliao,pl
胚囊	peinang,pn
胚囊泡	peinangpao,pnp
胚盘	peipan,pp
胚泡	peipao,pp
胚乳	peiru,pr
胚胎	peitai,pt
胚胎发生	peitaifasheng,ptfs
胚胎学	peitaixue,ptx
胚芽	peiya,py
胚芽米	peiyami,pym
胚芽鞘	peiyaqiao,pyq
胚叶	peiye,py
胚腪	peiyun,py
胚种	peizhong,pz
胚轴	peizhou,pz
胚珠	peizhu,pz
胚子	peizi,pz
