鉏镈	chubo,cb
鉏锸	chucha,cc
鉏刬	chuchan,cc
鉏钩	chugou,cg
鉏灌	chuguan,cg
鉏鹤	chuhe,ch
鉏翦	chujian,cj
鉏龃	chuju,cj
鉏垦	chuken,ck
鉏耒	chulei,cl
鉏颣	chulei,cl
鉏犁	chuli,cl
鉏僇	chulu,cl
鉏麛	chumi,cm
鉏灭	chumie,cm
鉏民	chumin,cm
鉏霓	chuni,cn
鉏麑	chuni,cn
鉏耨	chunou,cn
鉏强	chuqiang,cq
鉏商	chushang,cs
鉏畬	chushe,cs
鉏畲	chushe,cs
鉏头	chutou,ct
鉏吾	chuwu,cw
鉏铻	chuyu,cy
鉏牙	chuya,cy
鉏烟	chuyan,cy
鉏櫌	chuyou,cy
鉏耰	chuyou,cy
鉏耘	chuyun,cy
鉏治	chuzhi,cz
鉏子	chuzi,cz
