玫陛	meibi,mb
玫瑰	meigui,mg
玫瑰饼	meiguibing,mgb
玫瑰果	meiguiguo,mgg
玫瑰红	meiguihong,mgh
玫瑰花	meiguihua,mgh
玫瑰茄	meiguiqie,mgq
玫瑰露	meiguilu,mgl
玫瑰念珠	meiguinianzhu,mgnz
玫瑰色	meiguise,mgs
玫瑰树	meiguishu,mgs
玫瑰瓮	meiguiweng,mgw
玫瑰香	meiguixiang,mgx
玫瑰星云	meiguixingyun,mgxy
玫瑰战争	meiguizhanzheng,mgzz
玫瑰柱	meiguizhu,mgz
玫瑰紫	meiguizi,mgz
玫红眉朱雀	meihongzhuque,mhzq
玫阶	meijie,mj
玫柱	meizhu,mz
