剔拨	tibo,tb
剔齿櫼	tichijian,tcj
剔齿纤	tichixian,tcx
剔抽禿刷	tichoutushua,tcts
剔抽秃揣	tichoutuchuai,tctc
剔抽秃刷	tichoutushua,tcts
剔除	tichu,tc
剔灯	tideng,td
剔发	tifa,tf
剔股	tigu,tg
剔骨	tigu,tg
剔红	tihong,th
剔抉	tijue,tj
剔亮	tiliang,tl
剔留秃鲁	tiliutulu,tltl
剔留秃圞	tiliutuluan,tltl
剔目	timu,tm
剔嬲	tiniao,tn
剔竖	tishu,ts
剔腾	titeng,tt
剔剔挞挞	tita,tt
剔挑	titiao,tt
剔透	titou,tt
剔透玲珑	titoulinglong,ttll
剔秃	titu,tt
剔团圞	tituanluan,ttl
剔团圆	tituanyuan,tty
剔犀	tixi,tx
剔蝎撩蜂	tixieliaofeng,txlf
剔牙	tiya,ty
剔牙松	tiyasong,tys
剔牙杖	tiyazhang,tyz
剔庄货	tizhuanghuo,tzh
