脆薄	cuibao,cb
脆绷	cuibeng,cb
脆变	cuibian,cb
脆促	cuicu,cc
脆脆	cui,c
脆脆崩崩	cuibeng,cb
脆断	cuiduan,cd
脆而不坚	cuierbujian,cebj
脆谷乐	cuigule,cgl
脆骨	cuigu,cg
脆管	cuiguan,cg
脆好	cuihao,ch
脆化	cuihua,ch
脆快	cuikuai,ck
脆亮	cuiliang,cl
脆美	cuimei,cm
脆嫩	cuinen,cn
脆片	cuipian,cp
脆怯	cuiqie,cq
脆弱	cuiruo,cr
脆弱地	cuiruode,crd
脆生生	cuisheng,cs
脆爽	cuishuang,cs
脆响	cuixiang,cx
脆性	cuixing,cx
脆枣	cuizao,cz
