剿办	jiaoban,jb
剿捕	jiaobu,jb
剿除	jiaochu,jc
剿荡	jiaodang,jd
剿定	jiaoding,jd
剿儿	jiaoer,je
剿匪	jiaofei,jf
剿抚	jiaofu,jf
剿合	jiaohe,jh
剿击	jiaoji,jj
剿截	jiaojie,jj
剿净	jiaojing,jj
剿凈	jiaojing,jj
剿绝	jiaojue,jj
剿绝儿	jiaojueer,jje
剿戮	jiaolu,jl
剿灭	jiaomie,jm
剿民	jiaomin,jm
剿扑	jiaopu,jp
剿窃	jiaoqie,jq
剿擒	jiaoqin,jq
剿取	jiaoqu,jq
剿杀	jiaosha,js
剿拾	chaoshi,cs
剿说	chaoshuo,cs
剿殄	jiaotian,jt
剿袭	chaoxi,cx
剿洗	jiaoxi,jx
剿饷	jiaoxiang,jx
