唇敝舌腐	chunbishefu,cbsf
唇不离腮	chunbulisai,cbls
唇彩	chuncai,cc
唇齿	chunchi,cc
唇齿相须	chunchixiangxu,ccxx
唇齿相依	chunchixiangyi,ccxy
唇齿音	chunchiyin,ccy
唇齿之邦	chunchizhibang,cczb
唇典	chundian,cd
唇读	chundu,cd
唇颚裂	chunelie,cel
唇辅相连	chunfuxianglian,cfxl
唇腐齿落	chunfuchiluo,cfcl
唇干口燥	chungankouzao,cgkz
唇膏	chungao,cg
唇红齿白	chunhongchibai,chcb
唇喙	chunhui,ch
唇尖舌利	chunjiansheli,cjsl
唇焦口燥	chunjiaokouzao,cjkz
唇焦舌敝	chunjiaoshebi,cjsb
唇角	chunjiao,cj
唇揭齿寒	chunjiechihan,cjch
唇竭齿寒	chunjiechihan,cjch
唇紧	chunjin,cj
唇裂	chunlie,cl
唇蜜	chunmi,cm
唇枪舌剑	chunqiangshejian,cqsj
唇枪舌战	chunqiangshezhan,cqsz
唇鎗舌剑	chunqiangshejian,cqsj
唇三口四	chunsankousi,csks
唇舌	chunshe,cs
唇亡齿寒	chunwangchihan,cwch
唇纹	chunwen,cw
唇吻	chunwen,cw
唇呡	chunwen,cw
唇线	chunxian,cx
唇形科	chunxingke,cxk
唇音	chunyin,cy
唇印	chunyin,cy
唇脂	chunzhi,cz
