戾悖	libei,lb
戾虫	lichong,lc
戾沓	lita,lt
戾夫	lifu,lf
戾悍	lihan,lh
戾很	lihen,lh
戾狠	lihen,lh
戾家	lijia,lj
戾家把戏	lijiabaxi,ljbx
戾戾	li,l
戾龙	lilong,ll
戾谬	limiu,lm
戾虐	linue,ln
戾气	liqi,lq
戾契	liqi,lq
戾强	liqiang,lq
戾色	lise,ls
戾莎	lisha,ls
戾深	lishen,ls
戾太子	litaizi,ltz
戾心	lixin,lx
戾行	lixing,lx
戾虚	lixu,lx
戾疫	liyi,ly
戾于	liyu,ly
戾园	liyuan,ly
戾止	lizhi,lz
戾种	lizhong,lz
