牟比乌斯带	mubiwusidai,mbwsd
牟定	mouding,md
牟定县	moudingxian,mdx
牟光	muguang,mg
牟呼栗多	muhuliduo,mhld
牟呼婆羯洛婆	muhupojieluo,mhpjl
牟甲	mujia,mj
牟利	mouli,ml
牟麦	mumai,mm
牟牟	mu,m
牟尼	muni,mn
牟尼教	munijiao,mnj
牟尼珠	munizhu,mnz
牟尼子	munizi,mnz
牟平	muping,mp
牟平区	mupingqu,mpq
牟婆洛揭拉婆	mupoluojiela,mpljl
牟取	mouqu,mq
牟取暴利	mouqubaoli,mqbl
牟衫	mushan,ms
牟盛	musheng,ms
牟食	mushi,ms
牟寿	moushou,ms
牟槊	mushuo,ms
牟撷	muxie,mx
牟贼	muzei,mz
牟知	muzhi,mz
牟追	muzhui,mz
牟子	mouzi,mz
