泝本	suben,sb
泝测	suce,sc
泝端竟委	suduanjingwei,sdjw
泝栰	sufa,sf
泝回	suhui,sh
泝洄	suhui,sh
泝流	suliu,sl
泝流穷源	suliuqiongyuan,slqy
泝流追源	suliuzhuiyuan,slzy
泝然	suran,sr
泝涉	sushe,ss
泝述	sushu,ss
泝水行舟	sushuixingzhou,ssxz
泝泝	su,s
泝溯	su,s
泝遡	su,s
泝滩	sutan,st
泝通	sutong,st
泝沿	suyan,sy
泝游	suyou,sy
泝源	suyuan,sy
泝追	suzhui,sz
