芸编	yunbian,yb
芸草	yuncao,yc
芸锄	yunchu,yc
芸鉏	yunchu,yc
芸窗	yunchuang,yc
芸牕	yunchuang,yc
芸豆	yundou,yd
芸夫	yunfu,yf
芸阁	yunge,yg
芸馆	yunguan,yg
芸黄	yunhuang,yh
芸辉	yunhui,yh
芸简	yunjian,yj
芸扃	yunjiong,yj
芸吏	yunli,yl
芸耨	yunnou,yn
芸签	yunqian,yq
芸人	yunren,yr
芸生	yunsheng,ys
芸省	yunsheng,ys
芸署	yunshu,ys
芸庶	yunshu,ys
芸台	yuntai,yt
芸苔属	yuntaishu,yts
芸苔子	yuntaizi,ytz
芸薹	yuntai,yt
芸薹属	yuntaishu,yts
芸香	yunxiang,yx
芸香阁	yunxiangge,yxg
芸香科	yunxiangke,yxk
芸香吏	yunxiangli,yxl
芸香属	yunxiangshu,yxs
芸香署	yunxiangshu,yxs
芸芸	yun,y
芸芸众生	yunzhongsheng,yzs
芸帙	yunzhi,yz
