觇报	chanbao,cb
觇标	chanbiao,cb
觇察	chancha,cc
觇伺	chansi,cs
觇睹	chandu,cd
觇覩	chandu,cd
觇国	changuo,cg
觇候	chanhou,ch
觇见	chanjian,cj
觇决	chanjue,cj
觇窥	chankui,ck
觇览	chanlan,cl
觇逻	chanluo,cl
觇矕	chanman,cm
觇觑	chanqu,cq
觇人	chanren,cr
觇视	chanshi,cs
觇探	chantan,ct
觇眺	chantiao,ct
觇听	chanting,ct
觇望	chanwang,cw
觇行	chanxing,cx
觇觎	chanyu,cy
觇侦	chanzhen,cz
觇知	chanzhi,cz
