剥剥	bao,b
剥采比	bocaibi,bcb
剥褫	baochi,bc
剥除	baochu,bc
剥船	baochuan,bc
剥床	bochuang,bc
剥床及肤	bochuangjifu,bcjf
剥刺	baoci,bc
剥葱	baocong,bc
剥奠	baodian,bd
剥掉	bodiao,bd
剥夺	boduo,bd
剥放	baofang,bf
剥肤	bofu,bf
剥肤及髓	bofujisui,bfjs
剥肤之痛	bofuzhitong,bfzt
剥肤椎髓	bofuchuisui,bfcs
剥复	bofu,bf
剥割	baoge,bg
剥害	baohai,bh
剥寒	baohan,bh
剥花生	baohuasheng,bhs
剥坏	baohuai,bh
剥漶	baohuan,bh
剥毁	baohui,bh
剥极	boji,bj
剥极必复	bojibifu,bjbf
剥极将复	bojijiangfu,bjjf
剥极则复	bojizefu,bjzf
剥茧抽丝	bojianchousi,bjcs
剥壳	baoke,bk
剥烂	baolan,bl
剥泐	baole,bl
剥离	boli,bl
剥敛	baolian,bl
剥裂	baolie,bl
剥庐	baolu,bl
剥戮	baolu,bl
剥露	baolu,bl
剥乱	baoluan,bl
剥掠	baolue,bl
剥落	boluo,bl
剥麻	baoma,bm
剥面皮	baomianpi,bmp
剥皮	baopi,bp
剥皮抽筋	bopichoujin,bpcj
剥皮囊草	baopinangcao,bpnc
剥皮器	bopiqi,bpq
剥皮钳	baopiqian,bpq
剥皮实草	baopishicao,bpsc
剥剽	baopiao,bp
剥苹果	baopingguo,bpg
剥剖	baopou,bp
剥殻枪	baokeqiang,bkq
剥取	baoqu,bq
剥缺	baoque,bq
剥桡	baorao,br
剥人	baoren,br
剥辱	baoru,br
剥丧	baosang,bs
剥蚀	boshi,bs
剥示	baoshi,bs
剥损	baosun,bs
剥剔	baoti,bt
剥脱	baotuo,bt
剥文	baowen,bw
剥卸	baoxie,bx
剥削	boxue,bx
剥削阶级	boxuejieji,bxjj
剥削者	boxuezhe,bxz
剥一节	baoyijie,byj
剥异	baoyi,by
剥怨	baoyuan,by
剥运	baoyun,by
剥折	baoshe,bs
剥制	baozhi,bz
剥猪猡	baozhuluo,bzl
剥啄	bozhuo,bz
剥斲	baozhuo,bz
剥琢	baozhuo,bz
剥坐	baozuo,bz
