不阿	bue,be
不爱钱	buaiqian,baq
不硋	buai,ba
不碍	buai,ba
不碍事	buaishi,bas
不碍事地	buaishide,basd
不安	buan,ba
不安地	buande,bad
不安定地	buandengde,badd
不安分	buanfen,baf
不安好心	buanhaoxin,bahx
不安其室	buanqishi,baqs
不安全地	buanquande,baqd
不安于室	buanyushi,bays
不安于位	buanyuwei,bayw
不谙世故	buanshigu,basg
不按君臣	buanjunchen,bajc
不骜	buao,ba
不拔	buba,bb
不拔一毛	bubayimao,bbym
不拔之志	bubazhi,bbz
不白	bubai,bb
不白之冤	bubaizhiyuan,bbzy
不败之地	bubaizhidi,bbzd
不拜	bubai,bb
不搬陪	bubanpei,bbp
不办	buban,bb
不饱和	bubaohe,bbh
不饱和溶液	bubaoherongye,bbhry
不饱和烃	bubaoheting,bbht
不饱和脂肪酸	bubaohezhifangsuan,bbhzfs
不保险地	bubaoxiande,bbxd
不报	bubao,bb
不卑不亢	bubeikang,bbk
不备	bubei,bb
不倍	bubei,bb
不悖	bubei,bb
不逼	bubi,bb
不比	bubi,bb
不必	bubi,bb
不必过多地	bubiguoduode,bbgdd
不必要	bubiyao,bby
不必要地	bubiyaode,bbyd
不避	bubi,bb
不避斧钺	bubifuyue,bbfy
不避艰险	bubijianxian,bbjx
不避水火	bubishuihuo,bbsh
不避汤火	bubitanghuo,bbth
不变	bubian,bb
不变不革	bubiange,bbg
不变地	bubiande,bbd
不变化	bubianhua,bbh
不变化地	bubianhuade,bbhd
不变价格	bubianjiage,bbjg
不变量	bubianliang,bbl
不变其文	bubianqiwen,bbqw
不变资本	bubianziben,bbzb
不便	bubian,bb
不便道	bubiandao,bbd
不便地	bubiande,bbd
不便水土	bubianshuitu,bbst
不便险	bubianxian,bbx
不辨菽麦	bubianshumai,bbsm
不辨菽粟	bubianshusu,bbss
不辨真伪	bubianzhenwei,bbzw
不辩菽麦	bubianshumai,bbsm
不标准	bubiaozhun,bbz
不表	bubiao,bb
不宾	bubin,bb
不宾之士	bubinzhishi,bbzs
不并	bubing,bb
不勃	bubo,bb
不步人脚	burenjiao,brj
不才	bucai,bc
不材	bucai,bc
不采	bucai,bc
不倸	bucai,bc
不睬	bucai,bc
不测	buce,bc
不测之祸	bucezhihuo,bczh
不测之忧	bucezhiyou,bczy
不测之渊	bucezhiyuan,bczy
不测之罪	bucezhizui,bczz
不曾	buceng,bc
不曾序过	bucengxuguo,bcxg
不插电	buchadian,bcd
不茶不饭	buchafan,bcf
不察	bucha,bc
不差	bucha,bc
不差毫发	buchahaofa,bchf
不差毫厘	buchahaoli,bchl
不差累黍	buchaleishu,bcls
不差上下	buchashangxia,bcsx
不差什	buchashi,bcs
不差什么	buchashenme,bcsm
不差似	buchasi,bcs
不昌	buchang,bc
不尝	buchang,bc
不常	buchang,bc
不常有地	buchangyoude,bcyd
不畅	buchang,bc
不彻头	buchetou,bct
不尘	buchen,bc
不臣	buchen,bc
不臣之心	buchenzhixin,bczx
不辰	buchen,bc
不称	bucheng,bc
不撑达	buchengda,bcd
不成	bucheng,bc
不成才	buchengcai,bcc
不成材	buchengcai,bcc
不成方圆	buchengfangyuan,bcfy
不成功便成仁	buchenggongbianren,bcgbr
不成话	buchenghua,bch
不成器	buchengqi,bcq
不成人	buchengren,bcr
不成三瓦	buchengsanwa,bcsw
不成熟	buchengshu,bcs
不成体统	buchengtitong,bctt
不成文	buchengwen,bcw
不成文法	buchengwenfa,bcwf
不成形地	buchengxingde,bcxd
不成样子	buchengyangzi,bcyz
不承认主义	buchengrenzhuyi,bcrzy
不承望	buchengwang,bcw
不诚恳地	buchengkende,bckd
不诚实	buchengshi,bcs
不惩	bucheng,bc
不逞	bucheng,bc
不逞之徒	buchengzhitu,bczt
不吃	buchi,bc
不吃烟火食	buchiyanhuoshi,bcyhs
不吃羊肉空惹一身膻	buchiyangroukongreyishenshan,bcyrkryss
不痴不聋	buchilong,bcl
不迟疑地	buchiyide,bcyd
不持久地	buchijiude,bcjd
不侈	buchi,bc
不齿	buchi,bc
不齿于人	buchiyuren,bcyr
不耻	buchi,bc
不耻下问	buchixiawen,bcxw
不耻相师	buchixiangshi,bcxs
不耻最后	buchizuihou,bczh
不啻	buchi,bc
不啻天渊	buchitianyuan,bcty
不充分地	buchongfende,bcfd
不充足地	buchongzude,bczd
不崇朝	buchongchao,bcc
不瘳	buchou,bc
不愁没柴	buchoumeichai,bcmc
不愁没柴烧	buchoumeichaishao,bcmcs
不踌躇地	buchouchude,bccd
不雠	buchou,bc
不偢不倸	buchoucai,bcc
不偢人	buchouren,bcr
不瞅不睬	buchoucai,bcc
不瞅人	buchouren,bcr
不出所料	buchusuoliao,bcsl
不处	buchu,bc
不触目	buchumu,bcm
不触目地	buchumude,bcmd
不揣	buchuai,bc
不揣冒昧	buchuaimaomei,bcmm
不传	buchuan,bc
不纯	buchun,bc
不纯地	buchunde,bcd
不惙	buchuo,bc
不辍	buchuo,bc
不词	buci,bc
不慈	buci,bc
不慈悲地	bucibeide,bcbd
不辞	buci,bc
不辞而别	bucierbie,bceb
不辞劳苦	bucilaoku,bclk
不辞辛苦	bucixinku,bcxk
不雌不雄	bucixiong,bcx
不次	buci,bc
不次之迁	bucizhiqian,bczq
不次之位	bucizhiwei,bczw
不从	bucong,bc
不凑巧	bucouqiao,bcq
不存	bucun,bc
不存不济	bucunji,bcj
不存芥蒂	bucunjiedi,bcjd
不错	bucuo,bc
不错眼	bucuoyan,bcy
不搭理	budali,bdl
不达	buda,bd
不答理	budali,bdl
不打	buda,bd
不打不成才	budachengcai,bdcc
不打不成器	budachengqi,bdcq
不打不成相识	budachengxiangshi,bdcxs
不打不相识	budaxiangshi,bdxs
不打价儿	budajiaer,bdje
不打紧	budajin,bdj
不打自招	budazizhao,bdzz
不大	buda,bd
不大点	budadian,bdd
不大对头	budaduitou,bddt
不大方便	budafangbian,bdfb
不大紧	budajin,bdj
不大离	budali,bdl
不大离儿	budalier,bdle
不逮	budai,bd
不逮捕特权	budaitequan,bdtq
不逮养	budaiyang,bdy
不迨	budai,bd
不带	budai,bd
不带电	budaidian,bdd
不带头巾男子汉	budaitoujinnanzihan,bdtjnzh
不带音	budaiyin,bdy
不待	budai,bd
不待见	budaijian,bdj
不待蓍龟	budaishigui,bdsg
不待说	budaishuo,bds
不怠	budai,bd
不殆	budai,bd
不贷	budai,bd
不戴	budai,bd
不戴帽地	budaimaode,bdmd
不戴头巾男子汉	budaitoujinnanzihan,bdtjnzh
不丹	budan,bd
不单	budan,bd
不但	budan,bd
不惮烦	budanfan,bdf
不当	budang,bd
不当不正	budangzheng,bdz
不当村	budangcun,bdc
不当道	budangdao,bdd
不当得利	budangdeli,bddl
不当地	budangde,bdd
不当家	budangjia,bdj
不当家不知柴米贵	budangjiazhichaimigui,bdjzcmg
不当家花拉	budangjiahuala,bdjhl
不当家化化的	budangjiahuade,bdjhd
不当家豁拉	budangjiahuola,bdjhl
不当价	budangjia,bdj
不当紧	budangjin,bdj
不当奇	budangqi,bdq
不当人	budangren,bdr
不当人子	budangrenzi,bdrz
不当事	budangshi,bds
不当稳便	budangwenbian,bdwb
不当一回事	budangyihuishi,bdyhs
不党	budang,bd
不到	budao,bd
不到得	budaode,bdd
不到的	budaode,bdd
不到黄河心不死	budaohuanghexinsi,bdhhxs
不到火候不揭锅	budaohuohoujieguo,bdhhjg
不到家	budaojia,bdj
不到头	budaotou,bdt
不到位	budaowei,bdw
不到乌江心不死	budaowujiangxinsi,bdwjxs
不到长城非好汉	budaochangchengfeihaohan,bdccfhh
不倒	budao,bd
不倒口	budaokou,bdk
不倒翁	budaoweng,bdw
不道	budao,bd
不道得	budaode,bdd
不道德	budaode,bdd
不道德地	budaode,bdd
不道的	budaode,bdd
不道人	budaoren,bdr
不得	bude,bd
不得便	budebian,bdb
不得不	bude,bd
不得不锄	budechu,bdc
不得不鉏	budechu,bdc
不得不尔	budeer,bde
不得不发	budefa,bdf
不得当地	budedang,bdd
不得而知	budeerzhi,bdez
不得哥儿们	budegeermen,bdgem
不得虎子	budehuzi,bdhz
不得及	budeji,bdj
不得劲	budejin,bdj
不得开交	budekaijiao,bdkj
不得了	budele,bdl
不得脸	budelian,bdl
不得命	budeming,bdm
不得其门而入	budeqimenerru,bdqmer
不得其死	budeqisi,bdqs
不得其所	budeqisuo,bdqs
不得人心	buderenxin,bdrx
不得善终	budeshanzhong,bdsz
不得死	budesi,bds
不得随地大小便	budesuidaxiaobian,bdsdxb
不得随地吐痰	budesuitutan,bdstt
不得体地	budeti,bdt
不得违误	budeweiwu,bdww
不得要领	budeyaoling,bdyl
不得已	budeyi,bdy
不得已地	budeyi,bdy
不得已而为之	budeyierweizhi,bdyewz
不得已而用之	budeyieryongzhi,bdyeyz
不得意	budeyi,bdy
不得志	budezhi,bdz
不德	bude,bd
不的	bude,bd
不登	budeng,bd
不登大雅	budengdaya,bddy
不登大雅之堂	budengdayazhitang,bddyzt
不登登	budeng,bd
不等	budeng,bd
不等边地	budengbiande,bdbd
