杭本	hangben,hb
杭紬	hangchou,hc
杭绸	hangchou,hc
杭缎	hangduan,hd
杭筏	hangfa,hf
杭纺	hangfang,hf
杭杭	hang,h
杭杭子	hangzi,hz
杭好杭歹	hanghaodai,hhd
杭嘉湖	hangjiahu,hjh
杭锦	hangjin,hj
杭锦后旗	hangjinhouqi,hjhq
杭锦旗	hangjinqi,hjq
杭剧	hangju,hj
杭绢	hangjuan,hj
杭绝	hangjue,hj
杭纱	hangsha,hs
杭西	hangxi,hx
杭颍	hangying,hy
杭育	hangyo,hy
杭越	hangyue,hy
杭州	hangzhou,hz
杭州市	hangzhoushi,hzs
杭州湾	hangzhouwan,hzw
杭庄	hangzhuang,hz
杭子	hangzi,hz
