廓惝	kuochang,kc
廓充	kuochong,kc
廓达	kuoda,kd
廓达大度	kuodadu,kdd
廓大	kuoda,kd
廓大镜	kuodajing,kdj
廓定	kuoding,kd
廓尔	kuoer,ke
廓尔喀人	kuoerkaren,kekr
廓恢	kuohui,kh
廓开	kuokai,kk
廓廓	kuo,k
廓荦	kuoluo,kl
廓落	kuoluo,kl
廓宁	kuoning,kn
廓平	kuoping,kp
廓清	kuoqing,kq
廓穹	kuoqiong,kq
廓然	kuoran,kr
廓如	kuoru,kr
廓填	kuotian,kt
廓通	kuotong,kt
廓张	kuozhang,kz
廓周	kuozhou,kz
