燥暴	zaobao,zb
燥笔	zaobi,zb
燥不搭	zaobuda,zbd
燥坼	zaoche,zc
燥发	zaofa,zf
燥刚	zaogang,zg
燥涸	zaohe,zh
燥火	zaohuo,zh
燥急	zaoji,zj
燥坚	zaojian,zj
燥劲	zaojin,zj
燥渴	zaoke,zk
燥烈	zaolie,zl
燥裂	zaolie,zl
燥莽	zaomang,zm
燥皮	zaopi,zp
燥脾	zaopi,zp
燥脾胃	zaopiwei,zpw
燥气	zaoqi,zq
燥热	zaore,zr
燥涩	zaose,zs
燥湿	zaoshi,zs
燥屎	zaoshi,zs
燥吻	zaowen,zw
燥叶	zaoye,zy
燥战	zaozhan,zz
燥灼	zaozhuo,zz
燥子	saozi,sz
