链表	lianbiao,lb
链带	liandai,ld
链反应	lianfanying,lfy
链轨	liangui,lg
链环	lianhuan,lh
链接	lianjie,lj
链节	lianjie,lj
链结	lianjie,lj
链锯	lianju,lj
链路	lianlu,ll
链路层	lianluceng,llc
链轮	lianlun,ll
链霉素	lianmeisu,lms
链钳子	lianqianzi,lqz
链球	lianqiu,lq
链球菌	lianqiujun,lqj
链式反应	lianshifanying,lsfy
链式裂变反应	lianshiliebianfanying,lslbfy
链条	liantiao,lt
链烃	lianting,lt
链子	lianzi,lz
