惊人地	jingrende,jrd
惊人地高	jingrendegao,jrdg
惊人地相似	jingrendexiangsi,jrdxs
惊人显着地	jingrenxianzhede,jrxzd
惊人之举	jingrenzhiju,jrzj
惊肉生髀	jingroushengbi,jrsb
惊散	jingsan,js
惊骚	jingsao,js
惊沙	jingsha,js
惊砂	jingsha,js
惊讪	jingshan,js
惊赏	jingshang,js
惊蛇	jingshe,js
惊蛇入草	jingsherucao,jsrc
惊慑	jingshe,js
惊神	jingshen,js
惊神破胆	jingshenpodan,jspd
惊神泣鬼	jingshenqigui,jsqg
惊师动众	jingshidongzhong,jsdz
惊时	jingshi,js
惊世	jingshi,js
惊世骇目	jingshihaimu,jshm
惊世骇俗	jingshihaisu,jshs
惊世绝俗	jingshijuesu,jsjs
惊世震俗	jingshizhensu,jszs
惊事	jingshi,js
惊视	jingshi,js
惊倏	jingshu,js
惊耍	jingshua,js
惊睡	jingshui,js
惊嘶	jingsi,js
惊悚	jingsong,js
惊耸	jingsong,js
惊竦	jingsong,js
惊俗	jingsu,js
惊肃	jingsu,js
惊滩	jingtan,jt
惊叹	jingtan,jt
惊叹不已	jingtanbuyi,jtby
惊叹号	jingtanhao,jth
惊堂	jingtang,jt
惊堂木	jingtangmu,jtm
惊涛	jingtao,jt
惊涛骇浪	jingtaohailang,jthl
惊涛巨浪	jingtaojulang,jtjl
惊涛怒浪	jingtaonulang,jtnl
惊逃	jingtao,jt
惊啼	jingti,jt
惊惕	jingti,jt
惊天	jingtian,jt
惊天地	jingtiande,jtd
惊天地泣鬼神	jingtiandiqiguishen,jtdqgs
惊天动地	jingtiandongdi,jtdd
惊跳	jingtiao,jt
惊霆	jingting,jt
惊挺	jingting,jt
惊恸	jingtong,jt
惊痛	jingtong,jt
惊透	jingtou,jt
惊湍	jingtuan,jt
惊惋	jingwan,jw
惊位	jingwei,jw
惊畏	jingwei,jw
惊悟	jingwu,jw
惊悮	jingwu,jw
惊骛	jingwu,jw
惊寤	jingwu,jw
惊悉	jingxi,jx
惊喜	jingxi,jx
惊喜地发现	jingxidefaxian,jxdfx
惊喜地说	jingxideshuo,jxds
惊喜地问	jingxidewen,jxdw
惊喜交集	jingxijiaoji,jxjj
惊喜交加	jingxijiaojia,jxjj
惊喜若狂	jingxiruokuang,jxrk
惊喜欲狂	jingxiruokuang,jxrk
惊吓	jingxia,jx
惊弦	jingxian,jx
惊弦雁	jingxianyan,jxy
惊弦之鸟	jingxianzhiniao,jxzn
惊痫	jingxian,jx
惊癎	jingxian,jx
惊险	jingxian,jx
惊险片	jingxianpian,jxp
惊现	jingxian,jx
惊羡	jingxian,jx
惊霰	jingxian,jx
惊翔	jingxiang,jx
惊笑	jingxiao,jx
惊心	jingxin,jx
惊心悲魄	jingxinbeipo,jxbp
惊心惨目	jingxincanmu,jxcm
惊心褫魄	jingxinchipo,jxcp
惊心怵目	jingxinchumu,jxcm
惊心胆颤	jingxindanchan,jxdc
惊心悼胆	jingxindaodan,jxdd
惊心吊胆	jingxindiaodan,jxdd
惊心吊魄	jingxindiaopo,jxdp
惊心动魄	jingxindongpo,jxdp
惊心夺目	jingxinduomu,jxdm
惊心骇目	jingxinhaimu,jxhm
惊心骇神	jingxinhaishen,jxhs
惊心骇瞩	jingxinhaizhu,jxhz
惊心裂胆	jingxinliedan,jxld
惊心破胆	jingxinpodan,jxpd
惊心丧魄	jingxinsangpo,jxsp
惊心眩目	jingxinxuanmu,jxxm
惊醒	jingxing,jx
惊飍	jingxiu,jx
惊绣	jingxiu,jx
惊吁	jingyu,jy
惊喧	jingxuan,jx
惊眩	jingxuan,jx
惊讶	jingya,jy
惊讶地	jingyade,jyd
惊讶地发现	jingyadefaxian,jydfx
惊讶地看着	jingyadekanzhe,jydkz
惊讶地说	jingyadeshuo,jyds
惊呀	jingya,jy
惊眼	jingyan,jy
惊魇	jingyan,jy
惊艳	jingyan,jy
惊雁	jingyan,jy
惊燕	jingyan,jy
惊杨叶	jingyangye,jyy
惊摇	jingyao,jy
惊耀	jingyao,jy
惊疑	jingyi,jy
惊屹	jingyi,jy
惊异	jingyi,jy
惊逸	jingyi,jy
惊跇	jingyi,jy
惊忧	jingyou,jy
