店伴	dianban,db
店底	diandi,dd
店东	diandong,dd
店都知	diandouzhi,ddz
店二哥	dianerge,deg
店房	dianfang,df
店号	dianhao,dh
店伙	dianhuo,dh
店家	dianjia,dj
店面	dianmian,dm
店铺	dianpu,dp
店钱	dianqian,dq
店舍	dianshe,ds
店肆	diansi,ds
店堂	diantang,dt
店头	diantou,dt
店小二	dianxiaoer,dxe
店友	dianyou,dy
店员	dianyuan,dy
店长	dianzhang,dz
店帐	dianzhang,dz
店主	dianzhu,dz
店子	dianzi,dz
