竺典	zhudian,zd
竺法	zhufa,zf
竺干	zhugan,zg
竺干服	zhuganfu,zgf
竺干公	zhugangong,zgg
竺干氏	zhuganshi,zgs
竺干学	zhuganxue,zgx
竺国	zhuguo,zg
竺国经	zhuguojing,zgj
竺寒	zhuhan,zh
竺教	zhujiao,zj
竺经	zhujing,zj
竺可桢	zhukezhen,zkz
竺乾	zhuqian,zq
竺僧	zhuseng,zs
竺生	zhusheng,zs
竺书	zhushu,zs
竺土	zhutu,zt
竺文	zhuwen,zw
竺信	zhuxin,zx
竺学	zhuxue,zx
竺域	zhuyu,zy
竺胙	zhuzuo,zz
