衙兵	yabing,yb
衙参	yacan,yc
衙蠧	yadu,yd
衙蠹	yadu,yd
衙队	yadui,yd
衙府	yafu,yf
衙鼓	yagu,yg
衙官	yaguan,yg
衙官屈宋	yaguanqusong,ygqs
衙会	yahui,yh
衙集	yaji,yj
衙戟	yaji,yj
衙将	yajiang,yj
衙吏	yali,yl
衙楼	yalou,yl
衙门	yamen,ym
衙门从古向南开	yamencongguxiangnankai,ymcgxnk
衙内	yanei,yn
衙内钻	yaneizuan,ynz
衙喏	yanuo,yn
衙前	yaqian,yq
衙前乐	yaqianle,yql
衙强	yaqiang,yq
衙日	yari,yr
衙署	yashu,ys
衙堂	yatang,yt
衙庭	yating,yt
衙头	yatou,yt
衙推	yatui,yt
衙退	yatui,yt
衙香	yaxiang,yx
衙校	yaxiao,yx
衙衙	ya,y
衙役	yayi,yy
衙斋	yazhai,yz
衙职	yazhi,yz
衙子	yazi,yz
