螭坳	chiao,ca
螭陛	chibi,cb
螭额	chie,ce
螭舫	chifang,cf
螭龟	chigui,cg
螭虎	chihu,ch
螭驾	chijia,cj
螭蛟	chijiao,cj
螭角	chijiao,cj
螭阶	chijie,cj
螭桷	chijue,cj
螭奁	chilian,cl
螭龙	chilong,cl
螭炉	chilu,cl
螭鬽	chimei,cm
螭鬽魍魉	chimeiwangliang,cmwl
螭魅	chimei,cm
螭魅罔两	chimeiwangliang,cmwl
螭魅魍魉	chimeiwangliang,cmwl
螭纽	chiniu,cn
螭盘	chipan,cp
螭盘虎踞	chipanhuju,cphj
螭蟠	chipan,cp
螭蟠虬结	chipanqiujie,cpqj
螭虬	chiqiu,cq
螭首	chishou,cs
螭绶	chishou,cs
螭头	chitou,ct
螭头笔	chitoubi,ctb
螭头舫	chitoufang,ctf
螭头官	chitouguan,ctg
螭头载笔	chitouzaibi,ctzb
螭头柱	chitouzhu,ctz
螭文	chiwen,cw
螭吻	chiwen,cw
螭衣	chiyi,cy
螭鱼	chiyu,cy
螭云	chiyun,cy
