痰病	tanbing,tb
痰喘	tanchuan,tc
痰宫劈历	tangongpili,tgpl
痰核	tanhe,th
痰盒	tanhe,th
痰火	tanhuo,th
痰火司	tanhuosi,ths
痰厥	tanjue,tj
痰迷	tanmi,tm
痰迷心窍	tanmixinqiao,tmxq
痰沫	tanmo,tm
痰癖	tanpi,tp
痰气	tanqi,tq
痰桶	tantong,tt
痰涎	tanxian,tx
痰液	tanye,ty
痰饮	tanyin,ty
痰盂	tanyu,ty
痰盂儿	tanyuer,tye
痰盂式	tanyushi,tys
痰症	tanzheng,tz
