旬呈	xuncheng,xc
旬次	xunci,xc
旬晦	xunhui,xh
旬浃	xunjia,xj
旬假	xunjia,xj
旬节	xunjie,xj
旬刊	xunkan,xk
旬课	xunke,xk
旬年	xunnian,xn
旬期	xunqi,xq
旬日	xunri,xr
旬时	xunshi,xs
旬始	xunshi,xs
旬首	xunshou,xs
旬输月送	xunshuyuesong,xsys
旬朔	xunshuo,xs
旬岁	xunsui,xs
旬头米	xuntoumi,xtm
旬休	xunxiu,xx
旬修	xunxiu,xx
旬虚	xunxu,xx
旬宣	xunxuan,xx
旬旬	xun,x
旬宴	xunyan,xy
旬阳	xunyang,xy
旬阳县	xunyangxian,xyx
旬液	xunye,xy
旬邑	xunyi,xy
旬邑县	xunyixian,xyx
旬阴	xunyin,xy
旬余	xunyu,xy
旬月	xunyue,xy
旬阅	xunyue,xy
旬中空亡	xunzhongkongwang,xzkw
