瞽卜	gubu,gb
瞽词	guci,gc
瞽辞	guci,gc
瞽阇	gushe,gs
瞽儿词	guerci,gec
瞽夫	gufu,gf
瞽工	gugong,gg
瞽惑	guhuo,gh
瞽见	gujian,gj
瞽旷	gukuang,gk
瞽聩	gukui,gk
瞽漏	gulou,gl
瞽论	gulun,gl
瞽蒙	gumeng,gm
瞽目	gumu,gm
瞽人	guren,gr
瞽师	gushi,gs
瞽史	gushi,gs
瞽说	gushuo,gs
瞽叟	gusou,gs
瞽瞍	gusou,gs
瞽谈	gutan,gt
瞽妄	guwang,gw
瞽言	guyan,gy
瞽言萏议	guyandanyi,gydy
瞽言妄举	guyanwangju,gywj
瞽议	guyi,gy
瞽语	guyu,gy
瞽妪	guyu,gy
瞽者	guzhe,gz
瞽直	guzhi,gz
瞽宗	guzong,gz
