膺蕃	yingfan,yf
膺惩	yingcheng,yc
膺揲	yingdie,yd
膺肺	yingfei,yf
膺奉	yingfeng,yf
膺贡	yinggong,yg
膺骨	yinggu,yg
膺荷	yinghe,yh
膺荐	yingjian,yj
膺教	yingjiao,yj
膺擖	yingye,yy
膺历	yingli,yl
膺箓	yinglu,yl
膺箓受图	yinglushoutu,ylst
膺録	yinglu,yl
膺门	yingmen,ym
膺闷	yingmen,ym
膺难	yingnan,yn
膺滂	yingpang,yp
膺期	yingqi,yq
膺任	yingren,yr
膺受	yingshou,ys
膺堂	yingtang,yt
膺庭	yingting,yt
膺图	yingtu,yt
膺图受箓	yingtushoulu,ytsl
膺选	yingxuan,yx
膺臆	yingyi,yy
膺俞	yingyu,yy
膺运	yingyun,yy
膺中	yingzhong,yz
膺中俞	yingzhongyu,yzy
膺舟	yingzhou,yz
